,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,publishedDayName,durationSecs,tagCount,title_no_stopwords
0,xSq2-FkhpNk,ErikTheElectric,Eating The HIGHEST CALORIE Last Meal Request EVER MADE By A Death Row Inmate!,"In 2012, Gary Carl Simmons made history by requesting the highest calorie last meal ever by an inmate on death row before he met his demise. In this 24 hour food challenge, I'm attempting to make history myself by finishing every last calorie in this meal. It contained everything from pizza to insane amounts of ranch and cheese! 

Before each meal, I rolled 3 pairs of dice to determine the time limit for that meal. If I couldn't finish each meal within the time limit, then I had to eat a random last meal request made by another inmate in the next meal. 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
Get an I  ❤️ Carbs Shirt: https://eriktheelectric.shop/

Watch Me Eat Like Matt Stonie for 24 hours: 
https://youtu.be/kR8LLPtJVZA

Watch Me Eat 100,000 Calories 
https://youtu.be/OSK4fPC966s

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw


Erik’s 2nd Channel:  @TheElectrics 
Erik’s 3rd Channel:  @ElectricTalks 

#foodchallenge  #caloriechallenge 

I'm Erik. 
I specialize in high calorie food challenges. Whether it’s a massive 10,000 calorie burger, or it’s me attempting to eat the entire menu of a fast food restaurant. My goal is always to succeed in whatever food adventure I find myself in. 
If you love calorie packed food challenges, be sure to follow along and subscribe to the channel!","['eriktheelectric', 'erik the electric', 'erik the electric 24 hour challenge', 'erik the electric last meal challenge', 'prisoners last meals challenge', 'highest calorie last meal request ever made', 'erik the electric last meal request challenge', 'highest calorie last meal ever']",2023-03-21 19:39:50+00:00,625461.0,25905.0,,2102.0,PT16M15S,hd,false,Tuesday,975.0,8,"['Eating', 'The', 'HIGHEST', 'CALORIE', 'Last', 'Meal', 'Request', 'EVER', 'MADE', 'By', 'A', 'Death', 'Row', 'Inmate!']"
1,R6Oqwg0t2P4,ErikTheElectric,"Pro Eater Vs. 10,000+ CALORIES of KFC Double Downs!","KFC recently just re-released their legendary Double Down! I attempted to take down 11 of them (10,000 calories worth) in one sitting! 

What 10k challenge should I try next? 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
Watch me eat 100,000 calories: https://youtu.be/OSK4fPC966s

#foodchallenge #eriktheelectric #kfc","['erik the electric', 'erik the electric short', 'kfc double down', 'double down challenge', 'kfc challenge', 'food challenge', 'eating challenge']",2023-03-15 20:00:59+00:00,219058.0,14542.0,,199.0,PT59S,hd,false,Wednesday,59.0,7,"['Pro', 'Eater', 'Vs.', '10,000+', 'CALORIES', 'KFC', 'Double', 'Downs!']"
2,kR8LLPtJVZA,ErikTheElectric,I Ate Like Matt Stonie For 24 Hours,"​@mattstonie  is the biggest name in eating challenges. For 24 hours, I attempted to take down some of his most popular food challenges! This 24 hour calorie challenge was one of the most difficult challenges that I've ever attempted because of the size of each challenge and also.. because I didn't have control over what challenges I could do. 

If I couldn't take down each food challenge before the 24 hours was up, then I was going to have to eat the world's hottest chocolate bar! Be sure to stick around until the end to see if I was able to finish these Matt Stonie food challenges! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
I Love ❤️ Carbs Shirts: https://eriktheelectric.shop/

Watch Me Eat Only Family Sized Fast Food Meals For 24 Hours
https://youtu.be/SHVAXf7zVA0

Watch Me Eat 100,000 Calories 
https://youtu.be/OSK4fPC966s


Matt's Challenges Referenced: 
Matt Stonie Vs 1 Massive Slice of Pizza: https://youtu.be/rvaYl7mr1C8
50 Scrambled Egg Challenge: https://youtu.be/JL4PQVMaPE8
$3500 McDonalds Challenge: https://youtu.be/jeU2dm-yBT4
203 Chips Ahoy Challenge: https://youtu.be/VxE7Fi6jH54

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw


Erik’s 2nd Channel: @TheElectrics 
Erik’s 3rd Channel: @ElectricTalks 

#eriktheelectric #foodchallenge #caloriechallenge 

I'm Erik. 
I specialize in high calorie food challenges. Whether it’s a massive 10,000 calorie burger, or it’s me attempting to eat the entire menu of a fast food restaurant. My goal is always to succeed in whatever food adventure I find myself in. 
If you love calorie packed food challenges, be sure to follow along and subscribe to the channel!","['erik the electric', 'erik the electric eating challenge', 'erik the electric matt stonie', 'matt stonie challenge', 'eating like matt stonie for 24 hours', 'i ate like matt stonie for 24 hours', 'erik the electric calorie challenge', 'eating challenge', 'matt stonie food challenge']",2023-03-04 18:00:16+00:00,1495623.0,89508.0,,4051.0,PT18M51S,hd,false,Saturday,1131.0,9,"['I', 'Ate', 'Like', 'Matt', 'Stonie', 'For', '24', 'Hours']"
3,U8uLeV0VByk,ErikTheElectric,Pro Eater Vs FOUR Cardi B & Offset McDonald’s Meals,"I tried eating as many of the new Cardi B & Offset McDonalds Meals as I possibly could eat in 20 minutes! 

What food challenge should I do next? 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
Watch me eat 100,000 calories: https://youtu.be/OSK4fPC966s


#foodchallenge","['erik the electric', 'food challenge', 'eating challenge', 'food', 'mcdonalds', 'mcdonalds cardi b offset meal challenge', 'mcdonalds food challenge', 'calorie challenge']",2023-02-26 17:50:12+00:00,177750.0,10464.0,,142.0,PT1M,hd,false,Sunday,60.0,8,"['Pro', 'Eater', 'Vs', 'FOUR', 'Cardi', 'B', '&', 'Offset', 'McDonald’s', 'Meals']"
4,SHVAXf7zVA0,ErikTheElectric,I Ate Only FAMILY SIZED Fast Food Meals For a Day,"For One Day, I attempted to eat ONLY Family Sized Fast Food Menu Items! To make this fast food calorie challenge even crazier, if any of the employees tried to upsell me within 4 seconds ordering each meal, then I had to eat the unhealthiest item at each fast food place! 

Be sure to stick around until the end of this fast food food challenge to see if I was able to take down every family sized fast food meal! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
Get an I Love ❤️ Carbs Shirt: https://eriktheelectric.shop/

Watch Me Eat Every Cheesecake Factory Cheesecake: https://youtu.be/N5UzF3JfGwI

Watch The 100,000 Calorie Challenge: https://youtu.be/OSK4fPC966s

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

Erik’s 2nd Channel: @TheElectrics 
Erik’s 3rd Channel: @ElectricTalks 


#eriktheelectric #foodchallenge #caloriechallenge 

I'm Erik. 
I specialize in high calorie food challenges. Whether it’s a massive 10,000 calorie burger, or it’s me attempting to eat the entire menu of a fast food restaurant. My goal is always to succeed in whatever food adventure I find myself in. 
If you love calorie packed food challenges, be sure to follow along and subscribe to the channel!","['erik the electric', 'erik the electric food challenge', 'erik the electric 24 hour fast food challenge', 'eating only family sized fast food meals for 24 hours', 'fast food challenge', '24 hour fast food eating challenge', 'calorie challenge 2023', 'erik the electric calorie challenge 2023']",2023-02-22 20:00:08+00:00,2554876.0,83535.0,,7435.0,PT16M47S,hd,false,Wednesday,1007.0,8,"['I', 'Ate', 'Only', 'FAMILY', 'SIZED', 'Fast', 'Food', 'Meals', 'For', 'Day']"
5,DvJsMboGFSk,ErikTheElectric,Eating The World's LONGEST Nacho Tray!,"Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

#eriktheelectric #foodchallenge #nachos 


Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

Erik’s 2nd Channel:   @TheElectrics 
Erik’s 3rd Channel:   @ElectricTalks","['erik the electric', 'food challenge', 'eating challenge', 'nacho challenge', 'man vs food', 'super bowl food', 'super bowl eating challenge']",2023-02-12 19:08:21+00:00,205479.0,15695.0,,101.0,PT44S,hd,false,Sunday,44.0,7,"['Eating', 'The', ""World's"", 'LONGEST', 'Nacho', 'Tray!']"
6,N5UzF3JfGwI,ErikTheElectric,I FINISHED Every Cheesecake On The Cheesecake Factory Menu,"There's over 30 different cheesecakes on the Cheesecake Factory Menu. In this video, I attempt to take down every single one of them in a 24 hour time frame. This 24 hour food challenge had an insane amount of calories in it, but with the high dairy content in the cheesecakes.. the high calories were the least of my worries. 

Be sure to stick around to see if one man can eat the entire cheesecake factory cheesecake menu! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

Watch Me Gain 31lbs in 31 Hours: https://youtu.be/sBgqNTJ2XZI
Watch The 100,000 Calorie Challenge: https://youtu.be/OSK4fPC966s

#foodchallenge #eriktheelectric #cheesecakefactory 

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw


Erik’s 2nd Channel: @TheElectrics 
Erik’s 3rd Channel: @ElectricTalks  


I'm Erik. 
I specialize in high calorie food challenges. Whether it’s a massive 10,000 calorie burger, or it’s me attempting to eat the entire menu of a fast food restaurant. My goal is always to succeed in whatever food adventure I find myself in. 
If you love calorie packed food challenges, be sure to follow along and subscribe to the channel!","['erik the electric', 'erik the electric food challenge', 'erik the electric cheesecake factory', 'entire cheesecake factory menu', 'eating every cheesecake at the cheesecake factory', 'cheesecake factory cheeesecake challenge', 'eating every cheesecake challenge', 'cheesecake food challenge']",2023-02-05 20:00:11+00:00,845892.0,59736.0,,1902.0,PT17M6S,hd,false,Sunday,1026.0,8,"['I', 'FINISHED', 'Every', 'Cheesecake', 'On', 'The', 'Cheesecake', 'Factory', 'Menu']"
7,7O7tWQ8fTLI,ErikTheElectric,"10,000+ Calorie Crumbl Cookie Challenge DESTROYED!","I had 10 minutes to take down 10,000+ Calories of Crumbl Cookies. Crumbl Cookies are known to be very big and this high calorie food challenge had a ton of tasty cookies in it. Taking down all of these crumbl cookies within the time limit was going to be hard. Could I finish this crumbl  cookie food challenge? Stick around to find out! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

Make Carbs Great Again Shirt: https://eriktheelectric.shop/products/make-carbs-great-again-t-shirt

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

#eriktheelectric #foodchallenge #crumblcookies 

I'm Erik. 
I specialize in high calorie food challenges. Whether it’s a massive 10,000 calorie burger, or it’s me attempting to eat the entire menu of a fast food restaurant. My goal is always to succeed in whatever food adventure I find myself in. 
If you love calorie packed food challenges, be sure to follow along and subscribe to the channel!","['erik the electric', 'erik the electric crumbl cookies', 'crumbl cookie challenge', 'eating crumbl cookies', '10000 calories', '10000 calorie crumbl cookie challenge']",2023-01-29 17:23:17+00:00,302833.0,23937.0,,219.0,PT58S,hd,false,Sunday,58.0,6,"['10,000+', 'Calorie', 'Crumbl', 'Cookie', 'Challenge', 'DESTROYED!']"
8,sBgqNTJ2XZI,ErikTheElectric,I Gained 31 POUNDS in 31 HOURS!,"My goal in this insane high calorie food challenge is to gain 31 pounds in 31 hours. The only way to accomplish this is to choose the right kinds of food (and beverages). This high calorie weight gain challenge was one of the most insane food challenges I've ever attempted. 

With a 31 hour time limit for this high calorie food challenge, this weight gain challenge came down to the wire. Be sure to stick around to see what happened next! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

Watch The Last Food Challenge: https://studio.youtube.com/video/1lUjOMkaPqA/edit

Watch The 100,000 Calorie Challenge: https://youtu.be/OSK4fPC966s

I Love ❤️ Carbs Sweatshirtt: https://eriktheelectric.shop/products/i-3-carbs-hoodie


#eriktheelectric #foodchallenge #weightgainchallenge


Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

Erik’s 2nd Channel:  @TheElectrics 
Erik’s 3rd Channel:  @ElectricTalks","['erik the electric', 'erik the electric weight gain challenge', 'erik the electric 31 pounds video', '31 pounds in 31 hours', 'weight gain challenge', 'gaining as much weight as possible challenge', 'weight gain challenge 2023']",2023-01-22 20:29:48+00:00,898236.0,34863.0,,1733.0,PT16M21S,hd,false,Sunday,981.0,7,"['I', 'Gained', '31', 'POUNDS', '31', 'HOURS!']"
9,Y2O0kAs0_1E,ErikTheElectric,"Pro Eater Vs. 5,000+ Calorie PayDay Bar","Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
I Love ❤️ Carbs Shirt: https://eriktheelectric.shop/collections/t-shirts/products/red-i-3-carbs-t-shirt


#eriktheelectric #foodchallenge #manvsfood 


Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

Erik’s 2nd Channel:   @TheElectrics 
Erik’s 3rd Channel:   @ElectricTalks","['erik the electric', 'erik the electric food challenge', 'food challenge', 'candy bar challenge', 'calorie challenge', 'eating challenge', 'baby ruth challenge', 'candy eating challenge']",2023-01-15 20:26:54+00:00,257312.0,16314.0,,140.0,PT31S,hd,false,Sunday,31.0,8,"['Pro', 'Eater', 'Vs.', '5,000+', 'Calorie', 'PayDay', 'Bar']"
10,1lUjOMkaPqA,ErikTheElectric,I Finished EVERY ITEM On The Sonic Menu!,"Sonic's massive menu has 50 calorie packed items on it. In this 24 hour calorie challenge, I attempt to eat every single one of those items. This food challenge was my biggest entire menu challenge that I've ever attempted before. It contained everything from Sonic's french fries to Sonic's Dessert items. 

To take things up a notch, if I couldn't take each meal down within the time limit in this food challenge, then I would have to eat additional fast food items in the following meal. Stick around to see if I was able to finish this challenge! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

Watch The Last Entire Menu Challenge: https://youtu.be/sWX1a75ePTA

Watch The Last Calorie Challenge: https://youtu.be/Qh__01tvc90

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw


Erik’s 2nd Channel: @TheElectrics 
Erik’s 3rd Channel: @ElectricTalks  

#eriktheelectric #foodchallenge #caloriechallenge","['eriktheelectric', 'erik the electric food challenge', 'erik the electric calorie challenge', 'entire menu challenge', '24 hour calorie challenge', 'eating challenge', '10000 calorie challenge', 'fast food challenge', 'erik the electric 2023', '2023 food challenge', 'sonic menu challenge', 'entire sonic menu challenge']",2023-01-08 22:11:36+00:00,922274.0,49963.0,,3018.0,PT15M5S,hd,false,Sunday,905.0,12,"['I', 'Finished', 'EVERY', 'ITEM', 'On', 'The', 'Sonic', 'Menu!']"
11,Qh__01tvc90,ErikTheElectric,I Ate AS MUCH Christmas Junk Food AS POSSIBLE For 48 Hours!,"For 48 hours I'm eating as many high calorie holiday junk foods as possible. During the holiday season, there's a ton of calorie dense treats across the shelves, so I've decided to eat a bunch of them for this 48 hour calorie challenge. For every high calorie holiday junk food item that I consume in this 48 hour calorie challenge, I'll be donating $15 to cancer research! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
I Love ❤️ Carbs Shirts: https://eriktheelectric.shop/

Watch Last Years Carbsmas Challenge: https://www.youtube.com/watch?v=b6B5rXQ1JCI&t=550s

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

Erik’s 2nd Channel:  @TheElectrics 
Erik’s 3rd Channel:  @ElectricTalks 

#eriktheelectric #caloriechallenge #foodchallenge","['erik the electric', 'erik the electric food challenge', 'erik the electric carbsmas', 'erik the electric calorie challenge', 'eating as much holiday junk food as possible', 'christmas junk food challenge', 'erik the electric holiday food challenge', 'holiday food challenge', '48 hour food challenge', '48 hour calorie challenge']",2022-12-23 22:45:02+00:00,634954.0,24383.0,,1268.0,PT24M35S,hd,false,Friday,1475.0,10,"['I', 'Ate', 'AS', 'MUCH', 'Christmas', 'Junk', 'Food', 'AS', 'POSSIBLE', 'For', '48', 'Hours!']"
12,4BATbTK7vPs,ErikTheElectric,I Survived 24 Hours Of Eating The World's Most Fattening Foods,"For 24 hours I'm eating the most fattening foods on planet earth. This 24 hour calorie challenge was unlike anything I've done before because I'm eating specifically foods with high amounts of fat. 

This food challenge was based on the article written by the Daily Meal called ""The 13 Most Fattening Foods On Earth"", which can be found below. Some of these foods I've had before, some of these high calorie foods I've never had before, so this food challenge was going to be. Stick around to see if I was able to finish this challenge! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

The Article this challenge was based on: https://www.thedailymeal.com/eat/13-most-fattening-foods-earth

Get a ""Team Never Full"" Shirt: https://eriktheelectric.shop/products/team-never-full-t-shirt


Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw


Erik’s 2nd Channel: @TheElectrics 
Erik’s 3rd Channel: @ElectricTalks 


I'm Erik. 

I’m a guy with a HUGE appetite that LOVES food! A few years ago, I discovered my ability to eat large amounts of food and founded this channel to share it with THE WORLD! This channel is dedicated to all of my large calorie challenges and eating challenges. 

I live in the United States of America, home to some of the tastiest food in the world. Subscribe to the channel for more insane food challenges!","['erik the electric', 'erik the electric calorie challenge', 'erik the electric eating challenge', 'erik the electric 24 hour challenge', 'erik the electric cheat day', 'i survived the worlds most fattening cheat day', '10000 calories', 'worlds most fattening cheat day', 'food challenge', 'calorie challenge']",2022-12-15 20:37:04+00:00,1228446.0,39805.0,,3086.0,PT20M53S,hd,false,Thursday,1253.0,10,"['I', 'Survived', '24', 'Hours', 'Of', 'Eating', 'The', ""World's"", 'Most', 'Fattening', 'Foods']"
13,sWX1a75ePTA,ErikTheElectric,The ENTIRE In N Out Menu Challenge TRIPLED!,"Eating every item on the In N Out Menu is quite a challenge itself, but today I attempted that.. times THREE! With over 21 menu items, this high calorie fast food challenge was going to be quite difficult. Mainly because 50% of the calories came from the sugary milkshakes. With a 30 minute time limit, will I be able to tackle this one? Stick around to find out! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
I Love ❤️ Carbs Shirts: https://eriktheelectric.shop/

Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

Erik’s 2nd Channel: @TheElectrics 
Erik’s 3rd Channel: @ElectricTalks

#eriktheelectric #foodchallenge #manvsfood","['erik the electric', 'erik the electric food challenge', 'erik the electric in n out', 'erik the electric calorie challenge', 'entire in n out challenge tripled', 'entire in n out menu challenge', 'full in n out menu challenge', 'fast food menu challenge', '10000 calories']",2022-12-03 20:00:14+00:00,688326.0,29466.0,,1569.0,PT8M2S,hd,false,Saturday,482.0,9,"['The', 'ENTIRE', 'In', 'N', 'Out', 'Menu', 'Challenge', 'TRIPLED!']"
14,4TO1iZlWaNw,ErikTheElectric,Pro Eater Vs. Endless Pasta At Olive Garden!,"Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 
I Love ❤️ Carbs Shirt: https://eriktheelectric.shop/collections/t-shirts/products/red-i-3-carbs-t-shirt


#eriktheelectric #foodchallenge 


Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw

Erik’s 2nd Channel:  @TheElectrics 
Erik’s 3rd Channel:  @ElectricTalks","['erik the electric', 'erik the electric food challenge', 'eating challenge', 'calorie challenge', 'pasta challenge', 'olive garden challenge', 'man vs food', '10000 calories']",2022-12-01 21:05:05+00:00,1217869.0,83227.0,,516.0,PT59S,hd,false,Thursday,59.0,8,"['Pro', 'Eater', 'Vs.', 'Endless', 'Pasta', 'At', 'Olive', 'Garden!']"
15,Z2wffutkRBw,ErikTheElectric,I Survived 24 Hours Of Eating Like A My 600lb Life Participant,"The contestants on the show ""my 600lb life"" are known to have very high calorie meals! In this food challenge, I decided to take it upon myself to take down the biggest meals from the show. This 24 hour calorie challenge got harder along the way because if I couldn't beat the time limit for each meal, then I had to eat double the calories for the following meal! 

Be sure to stick around to see just how many calories I was able to take down during this giant 24 hour calorie challenge! 

Subscribe: https://www.youtube.com/c/ErikTheElectric?sub_confirmation=1 

I Heart Carbs Shirt: https://eriktheelectric.shop/products/red-i-3-carbs-t-shirt
""I'll pick that up later"" shirt: https://eriktheelectric.shop/collections/t-shirts/products/ill-pick-that-up-later-t-shirt

Watch Last Year's Cheatsgiving Video: https://youtu.be/L6TtBfQL8ps


Watch More Erik TheElectric:
Cheat Days: https://youtube.com/playlist?list=PLEutRp8s1YDjTOlEXWa-tCw9B2YphwzjO
Restaurant Challenges: https://youtube.com/playlist?list=PLEutRp8s1YDg88pWYAlnX_tnpL9yvIhC5
Popular Videos: https://www.youtube.com/playlist?list=PLEutRp8s1YDjcT2LlO0NA-_AjJ4ZLpUS2
Latest Uploads: https://www.youtube.com/playlist?list=PLEutRp8s1YDjjOfhb-poGHsykhkZyrEKw


Erik’s 2nd Channel: @TheElectrics 
Erik’s 3rd Channel: @ElectricTalks 

#foodchallenge #caloriechallenge #eriktheelectric 


My 600-lb Life is an American reality television series that has aired on the TLC television network since 2012. Each episode follows a year in the life of morbidly obese individuals, who usually begin the episode weighing at least 600 pounds (270 kg), and documents their attempts to reduce their weight to a healthy level. Update episodes, called ""Where Are They Now?"", feature one or more previous patients, picking up a year or more after their original episodes aired.

Patients are placed under the care of Iranian-American Houston surgeon Younan Nowzaradan (often referred to as simply ""Dr. Now""), who first has them attempt losing weight on their own by following a strict diet, and then depending on the patient's progress may offer gastric bypass surgery or sleeve gastrectomy to further assist in weight loss.","['erik the electric', 'erik the electric calorie challenge', 'erik the electric eating challenge', 'erik the electric my 600lb life', 'calorie challenge', 'my 600lb life diet challenge', 'eating like a my 600lb life contestant', 'erik the electric 24 hour challenge', 'erik the electric 20000 calories']",2022-11-24 18:34:06+00:00,2829139.0,79753.0,,7157.0,PT18M38S,hd,false,Thursday,1118.0,9,"['I', 'Survived', '24', 'Hours', 'Of', 'Eating', 'Like', 'A', 'My', '600lb', 'Life', 'Participant']"
